POSITION,TEAM_ID,TEAM_NAME,TEAM_SHORTNAME,TEAM_TLA,TEAM_CREST,PLAYED_GAMES,FORM,WON,DRAW,LOST,POINTS,GOALS_FOR,GOALS_AGAINST,GOAL_DIFFERENCE
1,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,1,,1,0,0,3,5,1,4
2,524,Paris Saint-Germain FC,PSG,PSG,https://crests.football-data.org/524.png,1,,1,0,0,3,4,0,4
3,851,Club Brugge KV,Club Brugge,CLU,https://crests.football-data.org/851.png,1,,1,0,0,3,4,1,3
3,498,Sporting Clube de Portugal,Sporting CP,SPO,https://crests.football-data.org/498.png,1,,1,0,0,3,4,1,3
5,3929,Royale Union Saint-Gilloise,Union SG,USG,https://crests.football-data.org/3929.png,1,,1,0,0,3,3,1,2
6,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,1,,1,0,0,3,3,1,2
7,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.png,1,,1,0,0,3,2,0,2
7,108,FC Internazionale Milano,Inter,INT,https://crests.football-data.org/108.png,1,,1,0,0,3,2,0,2
9,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.png,1,,1,0,0,3,2,0,2
10,611,Qarabağ Ağdam FK,Qarabağ Ağdam,QAR,https://crests.football-data.org/611.png,1,,1,0,0,3,3,2,1
11,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.png,1,,1,0,0,3,3,2,1
12,81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,1,,1,0,0,3,2,1,1
13,86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,1,,1,0,0,3,2,1,1
14,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.png,1,,1,0,0,3,1,0,1
15,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,1,,0,1,0,1,4,4,0
16,109,Juventus FC,Juventus,JUV,https://crests.football-data.org/109.png,1,,0,1,0,1,4,4,0
17,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,1,,0,1,0,1,2,2,0
17,5721,FK Bodø/Glimt,Bodø/Glimt,FK,https://crests.football-data.org/5721.png,1,,0,1,0,1,2,2,0
19,1876,FC København,København,KOB,https://crests.football-data.org/1876.png,1,,0,1,0,1,2,2,0
19,930,SK Slavia Praha,Slavia Praha,SLP,https://crests.football-data.org/930.png,1,,0,1,0,1,2,2,0
21,654,PAE Olympiakos SFP,Olympiakos,OLY,https://crests.football-data.org/654.png,1,,0,1,0,1,0,0,0
21,11034,Paphos FC,Paphos FC,AEP,https://crests.football-data.org/11034.png,1,,0,1,0,1,0,0,0
23,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,1,,0,0,1,0,2,3,-1
24,1903,Sport Lisboa e Benfica,SL Benfica,BEN,https://crests.football-data.org/1903.png,1,,0,0,1,0,2,3,-1
25,516,Olympique de Marseille,Marseille,MAR,https://crests.football-data.org/516.png,1,,0,0,1,0,1,2,-1
26,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.png,1,,0,0,1,0,1,2,-1
27,94,Villarreal CF,Villarreal,VIL,https://crests.football-data.org/94.png,1,,0,0,1,0,0,1,-1
28,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.png,1,,0,0,1,0,1,3,-2
29,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,1,,0,0,1,0,1,3,-2
30,678,AFC Ajax,Ajax,AJA,https://crests.football-data.org/678.png,1,,0,0,1,0,0,2,-2
30,77,Athletic Club,Athletic,ATH,https://crests.football-data.org/77.png,1,,0,0,1,0,0,2,-2
30,113,SSC Napoli,Napoli,NAP,https://crests.football-data.org/113.png,1,,0,0,1,0,0,2,-2
33,548,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png,1,,0,0,1,0,1,4,-3
33,10601,FK Kairat,FK Kairat,KAI,https://crests.football-data.org/10601.png,1,,0,0,1,0,1,4,-3
35,610,Galatasaray SK,Galatasaray,GAL,https://crests.football-data.org/610.png,1,,0,0,1,0,1,5,-4
36,102,Atalanta BC,Atalanta,ATA,https://crests.football-data.org/102.png,1,,0,0,1,0,0,4,-4
