AREA_NAME,COMPETITION_ID,COMPETITION_NAME,SEASON_ID,SEASON_STARTDATE,SEASON_ENDDATE,CURRENT_MATCHDAY,MATCH_ID,MATCH_DATE,STATUS,STAGE,COMP_GROUP,HOME_TEAM_NAME,HOME_TEAM_ID,HOME_TEAM_TLA,HOME_TEAM_CREST,AWAY_TEAM_NAME,AWAY_TEAM_ID,AWAY_TEAM_TLA,AWAY_TEAM_CREST,WINNER,DURATION,FULLTIME_AWAY,FULLTIME_HOME,HALFTIME_AWAY,HALFTIME_HOME,REFEREE_NAME,REFEREE_NATIONALITY
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537792,2025-08-17T13:00:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Crystal Palace FC,354,CRY,https://crests.football-data.org/354.png,DRAW,REGULAR,0,0,0,0,Darren England,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537804,2025-08-22T19:00:00Z,FINISHED,REGULAR_SEASON,,West Ham United FC,563,WHU,https://crests.football-data.org/563.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,5,1,3,1,Michael Oliver,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537808,2025-08-30T11:30:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Fulham FC,63,FUL,https://crests.football-data.org/63.png,HOME_TEAM,REGULAR,0,2,0,1,Robert Jones,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537818,2025-09-13T19:00:00Z,FINISHED,REGULAR_SEASON,,Brentford FC,402,BRE,https://crests.football-data.org/402.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,DRAW,REGULAR,2,2,0,1,Stuart Attwell,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551908,2025-09-17T19:00:00Z,FINISHED,LEAGUE_STAGE,,FC Bayern München,5,FCB,https://crests.football-data.org/5.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,1,3,1,2,José Sánchez Martínez,Spain
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537832,2025-09-20T16:30:00Z,FINISHED,REGULAR_SEASON,,Manchester United FC,66,MUN,https://crests.football-data.org/66.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,1,2,0,2,Peter Bankes,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537838,2025-09-27T14:00:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Brighton & Hove Albion FC,397,BHA,https://crests.football-data.org/397.png,AWAY_TEAM,REGULAR,3,1,0,1,Simon Hooper,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551917,2025-09-30T19:00:00Z,FINISHED,LEAGUE_STAGE,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Sport Lisboa e Benfica,1903,BEN,https://crests.football-data.org/1903.png,HOME_TEAM,REGULAR,0,1,0,1,Daniel Siebert,Germany
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537849,2025-10-04T16:30:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Liverpool FC,64,LIV,https://crests.football-data.org/64.png,HOME_TEAM,REGULAR,1,2,0,1,Anthony Taylor,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537862,2025-10-18T11:30:00Z,FINISHED,REGULAR_SEASON,,Nottingham Forest FC,351,NOT,https://crests.football-data.org/351.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,3,0,0,0,Chris Kavanagh,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551919,2025-10-22T19:00:00Z,FINISHED,LEAGUE_STAGE,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AFC Ajax,678,AJA,https://crests.football-data.org/678.png,HOME_TEAM,REGULAR,1,5,1,4,Felix Zwayer,Germany
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537869,2025-10-25T14:00:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Sunderland AFC,71,SUN,https://crests.football-data.org/71.png,AWAY_TEAM,REGULAR,2,1,1,1,Andy Madley,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537883,2025-11-01T17:30:00Z,FINISHED,REGULAR_SEASON,,Tottenham Hotspur FC,73,TOT,https://crests.football-data.org/73.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,1,0,1,0,Jarred Gillett,Australia
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551922,2025-11-05T17:45:00Z,FINISHED,LEAGUE_STAGE,,Qarabağ Ağdam FK,611,QAR,https://crests.football-data.org/611.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,DRAW,REGULAR,2,2,1,2,Sebastian Gishamer,Austria
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537889,2025-11-08T20:00:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Wolverhampton Wanderers FC,76,WOL,https://crests.football-data.org/76.png,HOME_TEAM,REGULAR,0,3,0,0,Andrew Kitchen,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537898,2025-11-22T12:30:00Z,FINISHED,REGULAR_SEASON,,Burnley FC,328,BUR,https://crests.football-data.org/328.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,2,0,1,0,Peter Bankes,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551916,2025-11-25T20:00:00Z,FINISHED,LEAGUE_STAGE,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,FC Barcelona,81,FCB,https://crests.football-data.org/81.png,HOME_TEAM,REGULAR,0,3,0,1,Slavko Vinčič,Slovenia
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537909,2025-11-30T16:30:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Arsenal FC,57,ARS,https://crests.football-data.org/57.png,DRAW,REGULAR,1,1,0,0,Anthony Taylor,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537921,2025-12-03T20:15:00Z,FINISHED,REGULAR_SEASON,,Leeds United FC,341,LEE,https://crests.football-data.org/341.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,1,3,0,2,Darren England,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537925,2025-12-06T15:00:00Z,FINISHED,REGULAR_SEASON,,AFC Bournemouth,1044,BOU,https://crests.football-data.org/bournemouth.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,DRAW,REGULAR,0,0,0,0,Michael Oliver,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551918,2025-12-09T20:00:00Z,FINISHED,LEAGUE_STAGE,,Atalanta BC,102,ATA,https://crests.football-data.org/102.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,1,2,1,0,Alejandro Hernández Hernández,Spain
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537940,2025-12-13T15:00:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Everton FC,62,EVE,https://crests.football-data.org/62.png,HOME_TEAM,REGULAR,0,2,0,2,Thomas Bramall,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537952,2025-12-20T12:30:00Z,FINISHED,REGULAR_SEASON,,Newcastle United FC,67,NEW,https://crests.football-data.org/67.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,DRAW,REGULAR,2,2,0,2,Andy Madley,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537960,2025-12-27T17:30:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Aston Villa FC,58,AVL,https://crests.football-data.org/58.png,AWAY_TEAM,REGULAR,2,1,0,1,Stuart Attwell,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537970,2025-12-30T19:30:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AFC Bournemouth,1044,BOU,https://crests.football-data.org/bournemouth.png,DRAW,REGULAR,2,2,2,2,Sam Barrott,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537981,2026-01-04T17:30:00Z,FINISHED,REGULAR_SEASON,,Manchester City FC,65,MCI,https://crests.football-data.org/65.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,DRAW,REGULAR,1,1,0,1,Michael Oliver,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537991,2026-01-07T19:30:00Z,FINISHED,REGULAR_SEASON,,Fulham FC,63,FUL,https://crests.football-data.org/63.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,HOME_TEAM,REGULAR,1,2,0,0,Peter Bankes,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,537998,2026-01-17T15:00:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Brentford FC,402,BRE,https://crests.football-data.org/402.png,HOME_TEAM,REGULAR,0,2,0,1,John Brooks,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551921,2026-01-21T20:00:00Z,FINISHED,LEAGUE_STAGE,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Paphos FC,11034,AEP,https://crests.football-data.org/11034.png,HOME_TEAM,REGULAR,0,1,0,0,Erik Lambrechts,Belgium
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538006,2026-01-25T14:00:00Z,FINISHED,REGULAR_SEASON,,Crystal Palace FC,354,CRY,https://crests.football-data.org/354.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,3,1,1,0,Darren England,England
Europe,2001,UEFA Champions League,2454,2025-09-16,2026-05-30,8,551920,2026-01-28T20:00:00Z,FINISHED,LEAGUE_STAGE,,SSC Napoli,113,NAP,https://crests.football-data.org/113.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,AWAY_TEAM,REGULAR,3,2,1,2,Clément Turpin,France
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538018,2026-01-31T17:30:00Z,FINISHED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,West Ham United FC,563,WHU,https://crests.football-data.org/563.png,HOME_TEAM,REGULAR,2,3,2,0,Anthony Taylor,England
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538034,2026-02-07T15:00:00Z,TIMED,REGULAR_SEASON,,Wolverhampton Wanderers FC,76,WOL,https://crests.football-data.org/76.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,,REGULAR,,,,,,
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538039,2026-02-10T19:30:00Z,TIMED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Leeds United FC,341,LEE,https://crests.football-data.org/341.png,,REGULAR,,,,,,
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538049,2026-02-21T15:00:00Z,TIMED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Burnley FC,328,BUR,https://crests.football-data.org/328.png,,REGULAR,,,,,,
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538057,2026-03-01T16:30:00Z,TIMED,REGULAR_SEASON,,Arsenal FC,57,ARS,https://crests.football-data.org/57.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,,REGULAR,,,,,,
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538066,2026-03-04T19:30:00Z,TIMED,REGULAR_SEASON,,Aston Villa FC,58,AVL,https://crests.football-data.org/58.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,,REGULAR,,,,,,
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538080,2026-03-14T17:30:00Z,TIMED,REGULAR_SEASON,,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,Newcastle United FC,67,NEW,https://crests.football-data.org/67.png,,REGULAR,,,,,,
England,2021,Premier League,2403,2025-08-15,2026-05-24,25,538088,2026-03-21T17:30:00Z,TIMED,REGULAR_SEASON,,Everton FC,62,EVE,https://crests.football-data.org/62.png,Chelsea FC,61,CHE,https://crests.football-data.org/61.png,,REGULAR,,,,,,
